Asignar a cada código del catálogo de artículos de especificaciones, los agrupadores correspondientes.
Los agrupadores están relacionados jerárquicamente entre sí en el siguiente 

orden: GrupoCont, GrupoMayor y GrupoMenor.

'Tabla ArtGrupoMayor'

GrupoCont	GrupoMayor	Descripcion
100	AUTO	AUTOMOVILES
100	MAMBA	MAMBA
100	PICKUP	PICKUPS
100	SUV	SUVS
100	TRACTO	TRACTOCAMION
200	AUTO	AUTOMOVILES
200	PICKUP	PICKUPS
200	SUV	SUVS
200	TRACTO	TRACTOCAMION
300	BLIND	BLINDAJES
305	MAQU	MAQUINADOS
305	P5-KIT-COR	P5 KIT DE CORTE
305	P5-MAQU	P5 MAQUINADOS
400	ACC BLIND	ACCESORIOS DE BLINDAJES
500	ACCE	ACCESORIOS VARIOS
500	ACEI	ACEITES, GRASAS Y LUBRICANTES
500	ACER	ACEROS
500	AFIN	AFINACION
500	CLIM	CLIMA Y CALEFACCION
500	COMB	SIST COMBUSTIBLE, ESCAPE Y EMISIONES
500	CORT	CORTE LASER Y DOBLEZ
500	CRIS	CRISTALES
500	CYC	COLISION Y CARROCERIA
500	DETA	DETALLADO
500	DIFE	DIFERENCIAL
500	DIRE	DIRECCION
500	ELEC	ELECTRICO
500	ENFR	SIST ENFRIAMIENTO
500	FERR	FERRETERIA
500	FREN	FRENOS
500	HERR	HERRAMIENTAS
500	KTPS	KITS TPS
500	LIMP	LIMPIEZA
500	LOGI	LOGISTICA
500	MAQU	MAQUINADOS
500	MOTO	MOTOR
500	PENDIENTE	POR DEFINIR GRUPO MAYOR
500	PINT	PINTURA
500	RUED	RUEDAS Y LLANTAS
500	SINI	SINIESTROS
500	SINT	SINTETICOS
500	SOLD	SOLDADURA
500	SUSP	SUSPENSION
500	TORN	TORNILLERIA
500	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
500	TRAN	TRANSMISION
500	VARI	VARIOS
505	P5-ACER	P5 PLACA DE ACERO
505	PENDIENTE	P5 POR DEFINIR GRUPO MAYOR
600	STOT	TOTS EN TALLER SERVICIO
600	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
601	TOT PLANTA	TRABAJOS EN OTROS TALLERES PARA PLANTAS
701	COMP	COMPONENTE DE ESPECIFICACION
800	PROY	PROYECTO ARQUITECTONICO
900	RENT	ARTÍCULO DE RENTAS

'Tabla ArtGrupoMenor'

GrupoCont	GrupoMayor	GrupoMenor	Descripcion
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	303                 	Costado
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	304                 	Traslape en costado
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	305                 	Poste B
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	306                 	Poste C
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	307                 	Poste B, C y D visibles en LINE-X desmontables
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	310                 	Laterales interiores en postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	320                 	Correderas de cinturon en poste B
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	321                 	Correderas de cinturon en poste B exterior
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	330                 	Ceja de empaque seccion sup (zona caliente)
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	340                 	Caja de cinturones y trampas
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	341                 	Ceja de empaque seccion sup (zona caliente)
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	342                 	Caja de Cinturones
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	343                 	Trampas
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	350                 	Biseles de cristales en postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	351                 	Biseles de cristales en marco de puertas
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	352                 	Biseles de cristales
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	360                 	Protección de 45° entre postes y puertas
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	361                 	Proteccion de 45° en postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	362                 	Traslape en marco de postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	363                 	Traslapes en marcos
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	364                 	Traslapes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	365                 	Traslape 360° en marco de postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	369                 	Cejas y costillas de piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	370                 	Proteccion en piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	371                 	Lados de piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	372                 	Piso parte inferior 2da fila
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	373                 	Piso cabina principal
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	374                 	Protección en piso bases de postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	375                 	Tapas de piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	376                 	Piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	377                 	Complemento de piso central
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	378                 	Bases de Postes B
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	379                 	Bases de Postes A y B
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	380                 	Costados de piso
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	381                 	Costados de piso en base de postes
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	382                 	Proteccion en tolvas parte inferior
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	383                 	Protección en escalón de piso
02	BLINDAJE OPACO	2	06	PUERTAS	6	353                 	Contrabisagras
02	BLINDAJE OPACO	2	06	PUERTAS	6	388                 	Puertas exteriores
02	BLINDAJE OPACO	2	06	PUERTAS	6	389                 	Contornos de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	390                 	Puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	391                 	Blindaje en parte superior de ventanas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	392                 	Troneras laterales
02	BLINDAJE OPACO	2	06	PUERTAS	6	394                 	Presurizador en 4 puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	395                 	Puertas Laterales
02	BLINDAJE OPACO	2	06	PUERTAS	6	400                 	Puertas traseras
02	BLINDAJE OPACO	2	06	PUERTAS	6	401                 	Puertas delanteras visible en láminas
02	BLINDAJE OPACO	2	06	PUERTAS	6	402                 	Puertas traseras visible en láminas
02	BLINDAJE OPACO	2	06	PUERTAS	6	403                 	Blindaje en parte superior de ventanas traseras
02	BLINDAJE OPACO	2	06	PUERTAS	6	410                 	Perímetro de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	411                 	Perimetro puerta delantera lado bisagras
02	BLINDAJE OPACO	2	06	PUERTAS	6	412                 	Perimetro puerta trasera seccion chapa
02	BLINDAJE OPACO	2	06	PUERTAS	6	413                 	Perimetro puerta trasera piso
02	BLINDAJE OPACO	2	06	PUERTAS	6	414                 	Perimetro solo frontal de puerta delantera
02	BLINDAJE OPACO	2	06	PUERTAS	6	420                 	Proteccion de Jaladeras
02	BLINDAJE OPACO	2	06	PUERTAS	6	421                 	Trampa de arneses
02	BLINDAJE OPACO	2	06	PUERTAS	6	430                 	Trampa de Arneses
02	BLINDAJE OPACO	2	06	PUERTAS	6	440                 	Traslape de cristal en area de espejo
02	BLINDAJE OPACO	2	06	PUERTAS	6	441                 	Aletas en puertas traseras
02	BLINDAJE OPACO	2	06	PUERTAS	6	442                 	Traslape de vidrio en puerta trasera
02	BLINDAJE OPACO	2	06	PUERTAS	6	450                 	Aletas de puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	451                 	Refuerzo lateral en puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	460                 	Traslapes corridos
02	BLINDAJE OPACO	2	06	PUERTAS	6	461                 	Traslape corrido en parte de panel
02	BLINDAJE OPACO	2	06	PUERTAS	6	462                 	Traslape corrido en postes
02	BLINDAJE OPACO	2	06	PUERTAS	6	470                 	Traslapes en marcos
02	BLINDAJE OPACO	2	06	PUERTAS	6	471                 	Traslape en marco parte superior
02	BLINDAJE OPACO	2	06	PUERTAS	6	472                 	Traslape en marco de postes
02	BLINDAJE OPACO	2	06	PUERTAS	6	473                 	Complementos en marcos de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	480                 	Tirantes en puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	490                 	Tirantes en puertas traseras
02	BLINDAJE OPACO	2	06	PUERTAS	6	491                 	Presurizador en puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	492                 	Tirantes retractiles en puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	496                 	Contra marco de cristales de parabrisas
02	BLINDAJE OPACO	2	06	PUERTAS	6	497                 	Protección de chapas de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	498                 	Marcos cajones de cristales de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	499                 	Contra marcos cristales de puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	500                 	Contrachapas
02	BLINDAJE OPACO	2	06	PUERTAS	6	504                 	Bisagras
02	BLINDAJE OPACO	2	06	PUERTAS	6	505                 	Bisagras maquinadas con freno
02	BLINDAJE OPACO	2	06	PUERTAS	6	506                 	Bisagras reforzadas placa fijadora
02	BLINDAJE OPACO	2	06	PUERTAS	6	507                 	Bisagras reforzadas y frenos
02	BLINDAJE OPACO	2	06	PUERTAS	6	508                 	bisagras maquinadas con Diseño TPS
02	BLINDAJE OPACO	2	06	PUERTAS	6	509                 	Bisagras superiores placas fijadoras
02	BLINDAJE OPACO	2	06	PUERTAS	6	510                 	Bisagras maquinadas reforzadas
02	BLINDAJE OPACO	2	06	PUERTAS	6	511                 	Bisagras reforzadas
02	BLINDAJE OPACO	2	06	PUERTAS	6	512                 	Bisagras diseño TPS
02	BLINDAJE OPACO	2	06	PUERTAS	6	513                 	Bisagras originales
02	BLINDAJE OPACO	2	06	PUERTAS	6	514                 	Bisagras remanufacturadas
02	BLINDAJE OPACO	2	06	PUERTAS	6	515                 	Placas fijadoras puertas delanteras
02	BLINDAJE OPACO	2	06	PUERTAS	6	516                 	Placas fijadoras puertas traseras
02	BLINDAJE OPACO	2	06	PUERTAS	6	517                 	Bisagras originales y placas fijadoras
02	BLINDAJE OPACO	2	06	PUERTAS	6	518                 	Bisagras reforzadas diseño TPS
02	BLINDAJE OPACO	2	06	PUERTAS	6	519                 	Bisagras reforzadas
02	BLINDAJE OPACO	2	06	PUERTAS	6	520                 	Contrabisagras
02	BLINDAJE OPACO	2	06	PUERTAS	6	521                 	Protección de 45° en Puertas
02	BLINDAJE OPACO	2	06	PUERTAS	6	522                 	Bisagras superiores
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	530                 	Conchas exteriores
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	531                 	Conchas interiores visibles en LINE-X desmontables
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	532                 	Marco de division
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	540                 	Conchas interiores
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	541                 	Conchas delanteras
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	542                 	Conchas traseras
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	543                 	Pared trasera
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	544                 	Pared habitaculo
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	549                 	Division 1ra fila
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	550                 	Division 2da fila
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	551                 	Division 3ra fila
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	552                 	Marco de division
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	553                 	Marco soporte de division
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	554                 	2do marco cuartos traseros
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	555                 	Cuartos traseros
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	556                 	Division 4ta fila
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	560                 	Mampara abatible
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	561                 	Marco de mampara abatible
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	562                 	Marco soporte de mampara abatible
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	563                 	Complemento de mampara abatible
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	564                 	Mampara desmontable en LINE-X
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	565                 	Traslape de mampara
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	570                 	Media mampara
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	571                 	Marco de media mampara
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	572                 	Marco soporte de media mampara
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	580                 	Respaldo
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	581                 	Completo
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	582                 	2do Marco soporte de medallon
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	583                 	1er Marco de medallon
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	584                 	2do Marco soporte de medallon lateral desmontable
02	BLINDAJE OPACO	2	07	DIVISORIO / MAMPARA/RESPALDO	7	585                 	Blindaje en área superior de respaldo
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	590                 	Defensas delanteras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	600                 	Defensas traseras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	601                 	Refuerzo de motor
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	610                 	Polveras delanteras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	611                 	Aletas en polveras delanteras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	612                 	Protección de polveras delanteras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	620                 	Proteccion de lineas de clima
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	630                 	Proteccion de booster
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	631                 	Proteccion de booster arnes principal
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	632                 	Proteccion arnes principal
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	640                 	Proteccion de computadora maestra
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	641                 	Protección de batería 12 v
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	642                 	Protección de batería de 48v
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	650                 	Proteccion de caja de fusibles
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	651                 	Proteccion de lineas de clima
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	652                 	Troneras
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	653                 	Marco de Mirilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	654                 	Aletas Exteriores en poste A inferior
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	656                 	Protección Batea
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	657                 	Marco de Mirilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	658                 	Protección de Roll Bar
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	659                 	Soporte de Buje
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	660                 	Protección de batería
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	661                 	Protección de cofre
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	662                 	Protección de cárter
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	663                 	Riñonera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	664                 	Piso Escotilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	665                 	Cartabon Riñonera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	666                 	Base Balero
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	667                 	Base Escotilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	668                 	Protección Perímetros Escotilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	669                 	Soporte Escotilla
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	670                 	Proteccion de tanque de combustible
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	671                 	Tapa de toma de combustible
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	672                 	Escalon
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	673                 	Estribos
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	674                 	Soporte Candado de Balero
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	675                 	Aro Perforado
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	676                 	Soporte Porta Armas
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	677                 	Protección Lateral Batea
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	678                 	Soporte Roll Bar
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	680                 	Proteccion de radiador
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	681                 	Cofre / tapa de bahia de motor
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	682                 	Proteccion de entrada de clima
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	683                 	Proteccion de faros laterales
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	684                 	Proteccion de antena
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	685                 	Proteccion de filtro de aire
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	686                 	Proteccion de clima
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	687                 	Proteccion de liquido de booster
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	688                 	Proteccion de def
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	689                 	Complemento de polvera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	690                 	Trampa en mofle
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	691                 	Escudo anti - explosivos
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	692                 	Cantonera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	693                 	Base de estribo
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	694                 	Tapa de winch
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	695                 	Cofre
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	696                 	Topes de cofre
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	697                 	Toma de combustible
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	698                 	Lodera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	699                 	Traslape de lodera
02	BLINDAJE OPACO	2	08	PROTECCION DE MOTOR / PERIFERIA	8	978                 	Desagüe de mofle
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	700                 	Blindaje interior de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	710                 	Area de cargo
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	711                 	Proteccion de motor de limpiaparabrisas
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	713                 	Base de presurizador
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	720                 	Traslape de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	721                 	Marco inserto de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	722                 	Proteccion motir de limpiaparabrisas 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	723                 	Ceja de empaque de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	730                 	Biseles de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	740                 	Marco inserto de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	750                 	Proteccion motor limpia parabrisas de 5ta pta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	760                 	Bisagras reforzadas de 5ta puerta
02	BLINDAJE OPACO	2	09	5TA PUERTA	9	770                 	Base de presurizador reforzadas
02	BLINDAJE OPACO	2	13	TECHO EN AREAS A MODIFICAR	13	971                 	BLINDAJE EN TECHO
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	972                 	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	973                 	Tolva lado copiloto
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	974                 	Trampa de clima
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	975                 	Pared de fuego piloto
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	976                 	Pared de fuego copiloto
02	BLINDAJE OPACO	2	14	TOLVA DE PARABRISAS Y PARED DE FUEGO EN AREAS A MODIFICAR	14	977                 	Unión pared de fuego copiloto
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	780                 	Espesor de cristales
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	790                 	Parabrisas
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	791                 	Parabrisas con resaque
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	800                 	Cristales de puertas delanteras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	801                 	Cristales planos de puertas delanteras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	810                 	Cristales de puertas traseras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	811                 	Aletas de puertas delanteras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	812                 	Cristales planos de puertas traseras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	820                 	Aletas de puertas traseras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	821                 	Cuartos traseros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	822                 	Cuartos traseros delanteros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	823                 	cuartos traseros traseros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	824                 	Costados traseros curvos tipo OEM
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	825                 	Inserto de Aletas de puertas traseras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	830                 	Inserto division
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	831                 	Inserto de mampara
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	832                 	Inserto de cuartos traseros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	833                 	Medallon
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	834                 	Inserto de medallon
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	835                 	Mirillas
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	836                 	Mirillas de torreta
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	837                 	Costados delanteros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	838                 	Cristal de 5ta puerta
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	839                 	Costados traseros
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	840                 	Recorrido cristal delantero izquierdo
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	841                 	Costados laterales
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	842                 	Mirilla de puerta media
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	843                 	Cristal puerta media
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	844                 	Recorrido de tijera para cristal delantero izquierdo
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	850                 	Recorrido cristal delantero derecho
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	851                 	Recorrido cristales Puertas Traseras
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	855                 	Presurizador en Recorrido de Cristales
03	BLINDAJE TRANSPARENTE	3	10	BLINDAJE TRANSPARENTE	10	856                 	Mirillas planas
